Burst,T_90S,T_90,T_50S,T_50,Phase,4ms Peak Flux,Fluence
"090122317e^a^,^b^,^f",40:15.9,468$_{-38}^{+26}$,40:16.0,146$_{-4}^{+4}$,,,
090122352a,26:14.5,46$_{-16}^{+50}$,26:14.5,14$_{-4}^{+4}$,0.717,1.32E-05 +or- 1.79E-06,1.63E-07 +or- 1.39E-08
090122352b^a,26:16.1,144$_{-16}^{+72}$,26:16.1,38$_{-8}^{+6}$,0.4839,1.30E-05 +or- 1.62E-06,4.40E-07 +or- 2.07E-08
"090122359a^b^,^f",36:30.7,260$_{-78}^{+114}$,36:30.8,42$_{-2}^{+2}$,,,
090122359b^a,36:40.5,188$_{-48}^{+56}$,36:40.5,50$_{-2}^{+6}$,0.8361,1.19E-05 +or- 1.05E-06,2.37E-07 +or- 1.09E-08
090122359c^a,40:56.3,184$_{-22}^{+37}$,40:56.4,100$_{-14}^{+24}$,0.3334,1.80E-06 +or- 4.19E-07,2.60E-08 +or- 3.64E-09
090122380a,07:38.6,182$_{-22}^{+62}$,07:38.7,32$_{-8}^{+20}$,0.6486,6.49E-06 +or- 8.13E-07,9.72E-08 +or- 7.20E-09
090122380b^a,08:15.6,102$_{-18}^{+84}$,08:15.6,46$_{-6}^{+14}$,0.4767,1.77E-06 +or- 3.95E-07,1.01E-07 +or- 7.20E-09
090122390a,21:00.4,214$_{-78}^{+72}$,21:00.4,46$_{-10}^{+8}$,0.5753,9.95E-06 +or- 1.18E-06,2.36E-07 +or- 1.23E-08
"090122419a^b^,^f",03:04.7,152$_{-12}^{+20}$,03:04.7,46$_{-2}^{+4}$,,,
090122419b^a,08:01.8,128$_{-12}^{+20}$,08:01.8,42$_{-4}^{+2}$,0.2925,3.95E-05 +or- 1.56E-06,1.36E-06 +or- 1.76E-08
090122428a,16:39.3,92$_{-16}^{+28}$,16:39.3,42$_{-4}^{+8}$,0.0571,3.12E-06 +or- 4.28E-07,7.07E-08 +or- 5.20E-09
090122428b^a,16:40.4,334$_{-36}^{+70}$,16:40.4,54$_{-4}^{+2}$,0.5875,1.11E-05 +or- 6.59E-07,8.07E-07 +or- 1.16E-08
090122451a,49:30.1,98$_{-16}^{+34}$,49:30.2,20$_{-2}^{+4}$,0.258,8.69E-06 +or- 1.02E-06,2.42E-07 +or- 1.15E-08
090122451b^a,52:11.9,64$_{-22}^{+8}$,52:11.9,22$_{-8}^{+10}$,0.3094,3.42E-06 +or- 6.99E-07,7.78E-08 +or- 1.01E-08
090122491a,46:21.3,382$_{-108}^{+62}$,46:21.3,124$_{-18}^{+22}$,0.5565,3.20E-06 +or- 5.91E-07,1.90E-07 +or- 9.76E-09
090122491b^a,49:44.2,202$_{-60}^{+20}$,49:44.2,64$_{-8}^{+12}$,0.4804,2.09E-06 +or- 4.79E-07,7.84E-08 +or- 8.40E-09
090122498a^f,57:34.0,44 +or- 9,57:34.0,20 +or- 9,0.2464,3.13E-06 +or- 5.27E-07,7.77E-08 +or- 6.66E-09
090122498b^a,00:47.3,244 +or- 9,00:47.4,120 +or- 6,0.569,3.99E-06 +or- 5.35E-07,4.80E-07 +or- 1.43E-08
090122498c^a,00:48.7,244 +or- 13,00:48.8,86 +or- 6,0.2554,7.98E-06 +or- 7.69E-07,1.07E-06 +or- 2.03E-08
090122551a,13:14.5,240$_{-46}^{+32}$,13:14.5,126$_{-32}^{+20}$,0.5884,1.50E-06 +or- 3.21E-07,4.33E-08 +or- 5.32E-09
090122624a,57:52.7,26$_{-8}^{+18}$,57:52.7,10$_{-2}^{+2}$,0.6398,1.15E-05 +or- 1.16E-06,1.87E-07 +or- 1.04E-08
090122624b^a,57:57.5,190$_{-32}^{+49}$,57:57.6,72$_{-18}^{+40}$,0.9868,1.84E-06 +or- 5.39E-07,9.21E-08 +or- 1.18E-08
"090122624c^a^,^b^,^f",02:15.4,94$_{-12}^{+14}$,02:15.4,26$_{-2}^{+4}$,,,
"090122650a^a^,^b^,^f",35:53.7,110$_{-2}^{+2}$,35:53.7,60$_{-2}^{+2}$,,,
090122684a,24:45.3,64$_{-10}^{+27}$,24:45.3,30$_{-6}^{+2}$,0.3827,4.81E-06 +or- 5.96E-07,1.16E-07 +or- 6.48E-09
"090122969a^a^,^b^,^f",14:54.1,200$_{-12}^{+20}$,14:54.1,70$_{-2}^{+2}$,,,
090122694a,39:26.5,382$_{-112}^{+55}$,39:26.7,98$_{-6}^{+4}$,0.8263,6.45E-06 +or- 5.50E-07,1.85E-07 +or- 7.60E-09
090122848a,20:55.7,210$_{-38}^{+55}$,20:55.7,66$_{-8}^{+12}$,0.4473,2.14E-06 +or- 4.48E-07,8.80E-08 +or- 7.00E-09
